"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"X08a14e13.810a.4862.9de9.16b4fea25625",0.211064970231886,0.358942133748162,0.291723610765949,0.0177360542388041,0.000364329334166066,1.92266304170029e-06,0.119447875199774,3.77638462821424e-07,0.000718726179754827
"X08ccd8d6.3e9d.4ece.a421.98acaf272569",0.09666239447131,0.184250475919177,4.28901940948743e-07,0.0558761880704135,0.0353175857139173,0.10453127347573,0.193276766310934,0.160331872486338,0.16975301465024
"X0940092b.46da.4975.bde7.f205fe12707b",0.0752339004558701,0.120520724881629,0.0603418420809388,0.000869702834814399,4.7664228173598e-06,0.0115502623867471,0.3724238225338,4.1159212116693e-07,0.359054566811262
"X0965a7ff.1a9f.4cc6.a822.970390b2de58",0.231882058401982,0.287332551263511,8.81676586805017e-07,4.11346016337194e-07,1.66060852550508e-07,0.0183017410375428,0.462480834009605,1.01561187801793e-06,3.40592025104318e-07
"X096761b0.f4ca.448d.b78f.58469a508798",0.0601616110753532,0.0943911629253576,0.0656824181025117,0.011222044656016,0.0357725524327634,0.0126492962310294,0.166249632368392,4.2178649522599e-07,0.553870860422081
"X099445c1.bd35.43ac.ab7e.9a8a9999c9a7",0.145554844680251,0.185409288178245,0.068750165289618,0.0600594431623867,0.00851038769789944,0.00519415944956898,0.469821268962355,3.04470266832722e-07,0.056700138109409
"X09c3168a.9886.4095.a5ef.8bdcd0988dea",0.104157136309773,0.0911288009871121,1.07574468578069e-05,0.00430258496138936,3.31297077360407e-07,0.0159479531063393,0.439505331803639,0.00168384056225226,0.343263263525561
"X09cf8de3.bb0f.434d.8cb3.9f5eeb264b6b",0.102201091476011,0.345994752643783,0.00667982838691862,0.0355190327680536,0.0038250659013129,0.0266309651547126,0.419258663663483,1.62971334612052e-07,0.0598904370343906
"X09f906ba.fa4b.487f.9631.fbd97d9db8f9",0.0925036042243397,0.0972322723131254,0.0879163042097904,0.000720773313621658,0.0184126826182379,0.0175949159200428,0.210198016907819,0.007557216889588,0.467864213603436
"X0a133c47.fae8.4e3b.8f4d.cbf357f5e2fc",0.0469488413229915,0.530874735885174,1.26929399398312e-05,0.00851237632528748,0.0330694326481575,0.0349282993629975,0.221994534639681,3.64118210695418e-07,0.123658722757561
"X0a430a9a.7e63.41d6.8cd0.1dda1e1df975",0.0605298118284139,0.200712424052337,0.0770364584118711,0.0259970691238281,0.0320766256662103,0.0302752797878797,0.215394978760416,0.000116738857824698,0.357860613511218
"X0a72c39e.889a.4990.bf96.6c7b9b8c1124",0.0457890196019348,0.265698722184534,0.0572176357486112,0.0119424607486365,0.0958084181428555,0.0684286339143623,7.18077751861706e-07,0.00309161031253228,0.452022781268782
"X0a950719.ca7a.4dbf.8755.262cabf3d4b7",0.313901278471522,0.189215218191562,0.00572600198244572,0.0141659971355148,3.65815402811942e-07,0.00432230668571108,0.472668397873846,2.07706633465363e-07,2.26137361746023e-07
"X0a9e33db.2527.4cc3.8669.a7c10fed7a7f",0.103365896536767,0.135824226967565,0.00449966181345198,5.41372372636643e-07,6.55521860838005e-07,0.00660986405555506,0.522917792315282,2.53663309111661e-07,0.226781107753836
"X0af3ed73.d962.492c.9dc5.85247cd3de03",0.0910900474655544,0.0962766247330386,0.0973875969409424,0.0331718534855396,0.00747144887376365,0.00767208424165777,0.340021088946421,1.14294820395113e-07,0.326909141018262
